text,file_name,label
"Chose même véritablement stupéfiante, c’est quand elle n’assemble pas les contraires et les disparates qu’elle paraît manquer aux lois de la ligne et des proportions. Les photo¬ graphies que nous reproduisons ici le montre et le prouve d’abon¬ dance. Et l’on peut ainsi formuler les deux ou trois règles fon¬ damentales qui sont essentiellement particulières à cette esthéti¬ que déconcertante : i° Plus le chapeau est vaste, plus la robe doit-être étroite, ajustée collante.",Femina_1908-10-15_femina186-1908.txt,Éditorial
"— Élégante robe de visite en drap bleu meunier, garni broderie soie même ton, large tablier retenu par des bouton* rebrodés. . 250 fr. Chapeau très grand en ottoman ca- chou garni couronne de plumes b( as et de 2 tète d’autruches noires. 60 fr. 35 fr. xvii ru^ lA 2, rue du Pont=Neuf, PARIS Confectionnés û sur Mesure s. Fillettes, Jeunes Gens et Enfants Envoi franco do* Catalogues et d’Échanallons sur demande Cliché G. de Malherbe fm V'/Î^M [ ij/l J w ■ 'n [i fl A .ES \ I ■ m 1 1 !",Femina_1908-10-15_femina186-1908.txt,Publicité
"Après un lavage rapide avec l’EAU MONO, on séchera. Mettre deux couches du LAIT MONO successivement séchées Ensuite, on étalera une légère couche de CIRE D'ABEILLES MONO et l’on poudrera. Cette toilette demande lü minutes en tout et permettra d’alfronter vents, poussières, etc., allègrement. On n’a à craindre aucune raideur, tous ces produits étant absorbés par la peau plus ou moins vite.",Femina_1908-10-15_femina186-1908.txt,Publicité
"Mais peut-être ne SaVEZ-Vous pas, où ne voulez-vous pas savoir, terribles redresseurs des torts SOCIAUX, tout ce qu’une œuvre pareille — que tout le monde connaît au moins de nom et dont on sait le but -_ léprésente d'efforts continus. de travail Quotidien, pour les membres actifs d abord et même pour les sim- ples adhérentes.",Femina_1901-03-01_femina1-3.txt,Éditorial
"La jupe, disposée en bande, se rattache par une série de petites boucles de strass, traversées par un nœud de velours, sur un dessous de panne fond blanc imprimée de dessins indiens gris perle et noirs à fonds très couverts. Autre costume en taffetas perforé, d’un ton Havane très pâle, tirant sur le roux. De larges boutonnières en brode- rie sont disposées dansle haut de la jupe pour y passer des (Vincent Lachartroulle) rubans de teinte orangée. Les (Boué Sœurs).",Femina_1901-03-01_femina1-3.txt,Éditorial
"Et elle était si contente, si contente , de n'être déjà plus la même depuis la veille, à ses propres ÿeux et aux miens! Mais moi aussi : puisque c'est pour cela que je l'aime! Enfin , je me rappelai pourtant que j'étais venu voir un chien du Kamtchatka . — Stecky! dit-elle, battant des mains, ce cher Stecky, c’est vrai! Vous allez voir comme il est intelligent! et doux! et câlin!",Journal_des_dames_et_des_modes_1913-02-01_journal-des-dames-et-des-modes-1-febbraio-1913.txt,Éditorial
"Le public s'attendait alors à un conte et il glissait sur le scénario , pourvu que la mise en scène fût riche et le cadre somptueux . Sur ces points toute satisfaction . Le conte dramatique de MM. Jules Lemaître et Knoblauch a été monté avec un luxe incomparable. On n’y pourrait reprocher que l'excès de bon goût : un Orient trop réservé , des décors à peine dorés par un soleil trop clément, des cieux d’un azur trop anémique.",Journal_des_dames_et_des_modes_1913-01-01_journal-des-dames-et-des-modes-n.-22-1-gennaio-1913.txt,Éditorial
"N'est-ce pas dans Galathée que l’on chante : Morphée est un dieu plein d’esprit Car son autel est un bon lit Et c’est en dormant qu’on l’honore. Ce ne sont pas seulement des autels de lits de plume que l’an- tiquité élevait au dieu du Sommeil; elle lui rendait un culte. Elle avait consacré le Léthé. Oublier! Dormir ! Rêver ! Nous faudra-t-il renoncer à cette libération passagère , subir sans relâche la ser- vitude des chagrins , des soucis , des préoccupations ?",Journal_des_dames_et_des_modes_1913-03-10_journal-des-dames-et-des-modes-10-marzo-1913.txt,Éditorial
"tre È 4 èche _ = détements pour Dames À AE PART LD Perte er d UG. : F PO TNT TENTE CDELDEUEULELEL LED EAEEEELEEEEELETEE TELE EE EEE A y et pour dlommes, diodes, etc. L EISE 5. boulevard Saint-Germain, 5 +. =, JS j È est incontestablement aujourd'hui | _< La PREMIÈRE des PHOTOGRAPHI DE UNE PRIME ARTISTIQUE |G ERMANDR E Sr Ê£ G s eu POUDRE Er BUR FEUILLES Trois Ateliers « äe 08e E sera ofïter te à tout Acheteur ere LEgereh de Beauté d'un pasfar idéal.",Femina_1901-03-01_femina1-3.txt,Publicité
"Imaginez, je vous prie, un homme, un de nos frères, un grand gaillard haut de cinq pieds six pouces, Don Quichotte, si vous voulez, sanglé dans une redingote haut boutonnée et coiffé d’un bolivar d’un mètre et demi de diamètre : peut-on concevoir mascarade plus complète, caricature plus grotesque ? Eh bien ! non, l’esthétique de la femme s’accommode de cet accoutrement, sa silhouette s’en dégage précise, inattendue, troublante, évocatrice, charmante.",Femina_1908-10-15_femina186-1908.txt,Éditorial
